Ticker,Zero_count,One_count,Accuracy,ROC Score,TP,FP,TN,FN,Strat Return,Passive Return
AGG,294,307,47.6%,44.0%,99,107,187,208,0.002%,0.000%
AMLP,300,301,46.3%,45.6%,94,116,184,207,-0.040%,0.013%
BND,289,312,48.3%,48.0%,85,84,205,227,-0.008%,0.000%
DIA,296,305,48.4%,48.8%,133,138,158,172,0.000%,0.005%
EEM,304,297,48.3%,49.4%,241,255,49,56,-0.009%,-0.007%
EFA,288,313,54.4%,51.3%,229,190,98,84,0.005%,0.001%
EWJ,299,302,50.4%,51.1%,93,89,210,209,0.008%,0.002%
EWZ,320,281,52.2%,51.9%,128,134,186,153,-0.019%,-0.033%
FXI,314,287,49.6%,49.9%,144,160,154,143,-0.020%,-0.009%
GDX,327,274,50.2%,50.8%,83,108,219,191,0.000%,0.002%
GDXJ,313,288,50.7%,51.2%,143,151,162,145,0.043%,0.008%
GLD,304,297,48.6%,48.7%,152,164,140,145,-0.004%,0.001%
HYG,310,291,52.4%,55.9%,106,101,209,185,-0.001%,0.000%
IAU,315,286,48.8%,47.8%,90,112,203,196,-0.013%,0.001%
IEFA,292,309,48.9%,48.1%,167,165,127,142,-0.003%,0.000%
IEMG,303,298,53.9%,52.3%,153,132,171,145,-0.009%,-0.006%
IJR,298,303,49.3%,49.5%,136,138,160,167,-0.003%,0.011%
IVV,278,323,49.8%,51.5%,103,82,196,220,0.013%,0.006%
IWM,287,314,50.6%,52.9%,152,135,152,162,-0.005%,0.011%
IYR,306,295,48.4%,49.9%,113,128,178,182,-0.026%,0.000%
JDST,302,299,50.4%,51.0%,22,21,281,277,-0.070%,-0.014%
KRE,288,313,47.1%,46.0%,85,90,198,228,-0.021%,0.022%
LQD,292,309,47.9%,47.9%,113,117,175,196,-0.005%,0.000%
NUGT,321,280,49.9%,48.8%,120,141,180,160,0.047%,0.004%
PFF,303,298,50.4%,48.1%,93,93,210,205,0.003%,0.001%
QQQ,282,319,46.4%,47.3%,133,136,146,186,-0.006%,0.007%
SLV,314,287,47.4%,48.9%,164,193,121,123,-0.010%,0.001%
SPXL,277,324,50.6%,49.6%,200,173,104,124,0.020%,0.018%
SPXU,329,272,50.6%,50.6%,175,200,129,97,-0.018%,-0.019%
SPY,272,329,49.1%,44.3%,237,214,58,92,0.000%,0.006%
SQQQ,336,265,50.2%,47.9%,89,123,213,176,-0.030%,-0.023%
TLT,286,315,52.6%,0.0%,127,97,189,188,0.015%,0.001%
TQQQ,283,318,50.2%,46.1%,229,210,73,89,0.014%,0.022%
TZA,320,281,52.4%,51.2%,10,15,305,271,0.021%,-0.033%
UNG,304,297,50.6%,50.1%,72,72,232,225,0.031%,0.031%
UPRO,274,327,47.9%,50.8%,137,123,151,190,0.030%,0.018%
USO,297,304,48.4%,48.1%,107,113,184,197,0.074%,0.028%
UVXY,325,276,47.3%,46.7%,137,178,147,139,-0.105%,-0.035%
VEA,288,313,48.1%,48.2%,162,161,127,151,0.001%,0.000%
VNQ,311,290,50.6%,49.5%,113,120,191,177,-0.019%,0.001%
VTI,281,320,49.6%,50.9%,166,149,132,154,0.005%,0.006%
VWO,297,304,50.4%,50.5%,139,133,164,165,-0.004%,-0.005%
VXX,320,281,49.3%,48.9%,97,121,199,184,-0.113%,-0.023%
XLB,300,301,49.9%,49.7%,171,171,129,130,-0.005%,0.006%
XLC,305,296,51.7%,51.0%,183,177,128,113,-0.005%,-0.008%
XLE,280,321,45.4%,41.9%,179,186,94,142,-0.021%,0.036%
XLF,316,285,47.8%,48.5%,187,216,100,98,-0.006%,0.008%
XLK,288,313,50.1%,49.5%,133,120,168,180,0.019%,0.008%
XLP,301,300,49.4%,52.3%,293,297,4,7,0.001%,0.002%
XLU,319,282,49.3%,47.5%,97,120,199,185,-0.008%,-0.004%
XLV,306,295,50.9%,0.0%,117,117,189,178,0.006%,-0.002%
XLY,272,329,50.1%,49.0%,177,148,124,152,0.036%,0.023%
XOP,269,332,49.8%,46.8%,189,159,110,143,0.034%,0.051%
XRT,298,303,48.8%,46.8%,160,165,133,143,0.002%,0.009%
